Country,Region,Subregion,Longitude
Russia,Kuril Islands,Kuril Islands,155.565
Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,40.553
Vanuatu,Melanesia and Australia,Vanuatu,168.12
United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",145.67
Japan,"Japan, Taiwan, Marianas",Honshu,138.523
United States,Alaska,Alaska (southwestern),-153.43
Ecuador,South America,Galapagos Islands,-91.408
Indonesia,Indonesia,Banda Sea,129.881
Iceland,Iceland and Arctic Ocean,Iceland (northeastern),-17.516
India,Indonesia,Andaman Islands,93.858
Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,160.595
Philippines,Philippines and SE Asia,Luzon,124.056
Chile,South America,Southern Chile and Argentina,-72.618
Cameroon,Africa and Red Sea,Africa (western),9.17
Chile,South America,Southern Chile and Argentina,-72.646
Mexico,Mexico and Central Americ,Mexico,-93.228
Russia,Kuril Islands,Kuril Islands,155.461
United States,Alaska,Aleutian Islands,-169.944
Indonesia,Indonesia,Sulawesi,121.601
Chile-Argentina,South America,Central Chile and Argentina,-71.183
Ecuador,South America,Ecuador,-78.436
Italy,Mediterranean and Western Asia,Italy,14.999
Iceland,Iceland and Arctic Ocean,Iceland (southern),-19.633
Ecuador,South America,Galapagos Islands,-91.55
Cape Verde,Atlantic Ocean,Cape Verde Islands,-24.35
France,Middle East and Indian Ocean,Indian Ocean (western),55.708
United States,Alaska,Alaska Peninsula,-153.672
Guatemala,Mexico and Central Americ,Guatemala,-90.88
Colombia,South America,Colombia,-77.37
Indonesia,Indonesia,Java,108.058
Indonesia,Indonesia,Halmahera,127.33
Indonesia,Indonesia,Halmahera,127.53
Iceland,Iceland and Arctic Ocean,Iceland (northeastern),-17.316
Australia,Middle East and Indian Ocean,Indian Ocean (southern),73.513
Iceland,Iceland and Arctic Ocean,Iceland (southern),-19.666
Tonga,New Zealand to Fiji,Tonga Islands,-174.775
Chile,South America,Southern Chile and Argentina,-72.97
Tonga,New Zealand to Fiji,Tonga Islands,-175.382
Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",139.394
Philippines,Philippines and SE Asia,Central Philippines,123.132
Papua New Guinea,Melanesia and Australia,Northeast of New Guinea,145.964
Comoros,Middle East and Indian Ocean,Indian Ocean (western),43.38
United States,Alaska,Aleutian Islands,-175.508
Indonesia,Indonesia,Java,112.308
United States,Hawaii and Pacific Ocean,Hawaiian Islands,-155.287
Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,130.862
Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,160.32
Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,160.642
Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,158.712
Iceland,Iceland and Arctic Ocean,Iceland (northeastern),-16.728
Papua New Guinea,Melanesia and Australia,New Britain,150.027
Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,130.217
Chile,South America,"Northern Chile, Bolivia and Argentina",-67.73
Chile,South America,Central Chile and Argentina,-71.729
Indonesia,Indonesia,Sulawesi,124.792
Chile,South America,Central Chile and Argentina,-71.586
Vanuatu,Melanesia and Australia,Vanuatu,168.346
Indonesia,Indonesia,Halmahera,127.4
United States,Alaska,Aleutian Islands,-166.923
Papua New Guinea,Melanesia and Australia,Northeast of New Guinea,145.037
Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,40.82
Ecuador,South America,Galapagos Islands,-90.47
United States,Hawaii and Pacific Ocean,Hawaiian Islands,-155.608
Philippines,Philippines and SE Asia,Luzon,123.685
Indonesia,Indonesia,Java,110.446
Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",139.526
Nicaragua,Mexico and Central Americ,Nicaragua,-86.539
Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,41.7
Ecuador,South America,Galapagos Islands,-91.17
Nicaragua,Mexico and Central Americ,Nicaragua,-86.702
DR Congo,Africa and Red Sea,Africa (central),29.2
DR Congo,Africa and Red Sea,Africa (central),29.25
United States,Alaska,Aleutian Islands,-168.13
Japan,"Japan, Taiwan, Marianas",Honshu,137.48
Guatemala,Mexico and Central Americ,Guatemala,-90.601
United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",145.8
Indonesia,Indonesia,Lesser Sunda Islands,121.708
Indonesia,Indonesia,Java,107.73
United States,Alaska,Alaska Peninsula,-161.894
Philippines,Philippines and SE Asia,Luzon,120.35
Chile,South America,Central Chile and Argentina,-70.568
Mexico,Mexico and Central Americ,Mexico,-98.622
Chile,South America,Central Chile and Argentina,-72.117
Papua New Guinea,Melanesia and Australia,New Britain,152.203
United States,Alaska,Alaska (southwestern),-152.742
Ecuador,South America,Ecuador,-77.656
Indonesia,Indonesia,Lesser Sunda Islands,116.47
Indonesia,Indonesia,Sangihe Islands,125.37
New Zealand,New Zealand to Fiji,New Zealand,175.57
Colombia,South America,Colombia,-75.324
Nicaragua,Mexico and Central Americ,Nicaragua,-87.004
El Salvador,Mexico and Central Americ,El Salvador and Honduras,-88.269
Indonesia,Indonesia,Lesser Sunda Islands,119.07
El Salvador,Mexico and Central Americ,El Salvador and Honduras,-89.63
Russia,Kuril Islands,Kuril Islands,153.2
Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,161.36
United States,Alaska,Aleutian Islands,-163.97
Indonesia,Indonesia,Sumatra,98.392
Indonesia,Indonesia,Sulawesi,124.737
United Kingdom,West Indies,West Indies,-62.18
Saint Vincent and the Grenadines,West Indies,West Indies,-61.18
United States,Alaska,Alaska (southwestern),-152.251
